Zone,File,Year,Units,NumUnits,MeanCompound,MedianCompound,StdCompound
texts_climate_only_Zone1,UNGA40_1985_BEL_40_1985_CLIMATE.txt,,sentences,1,0.0,0.0,0.0
texts_climate_only_Zone1,UNGA40_1985_DJI_40_1985_CLIMATE.txt,,sentences,1,-0.296,-0.296,0.0
texts_climate_only_Zone1,UNGA40_1985_DZA_40_1985_CLIMATE.txt,,sentences,1,-0.3818,-0.3818,0.0
texts_climate_only_Zone1,UNGA40_1985_LKA_40_1985_CLIMATE.txt,,sentences,1,0.0,0.0,0.0
texts_climate_only_Zone1,UNGA40_1985_SUR_40_1985_CLIMATE.txt,,sentences,1,-0.7579,-0.7579,0.0
texts_climate_only_Zone1,UNGA40_1985_ZWE_40_1985_CLIMATE.txt,,sentences,1,-0.9678,-0.9678,0.0
texts_climate_only_Zone1,UNGA41_1986_AUT_41_1986_CLIMATE.txt,,sentences,2,0.4037,0.4037,0.4037
texts_climate_only_Zone1,UNGA41_1986_BHS_41_1986_CLIMATE.txt,,sentences,1,0.4019,0.4019,0.0
texts_climate_only_Zone1,UNGA42_1987_AUT_42_1987_CLIMATE.txt,,sentences,2,-0.26335,-0.26335,0.26335
texts_climate_only_Zone1,UNGA42_1987_CAN_42_1987_CLIMATE.txt,,sentences,1,0.1779,0.1779,0.0
texts_climate_only_Zone1,UNGA42_1987_CHL_42_1987_CLIMATE.txt,,sentences,1,0.2263,0.2263,0.0
texts_climate_only_Zone1,UNGA42_1987_DEU_42_1987_CLIMATE.txt,,sentences,2,0.050199999999999995,0.050199999999999995,0.45209999999999995
texts_climate_only_Zone1,UNGA42_1987_ISL_42_1987_CLIMATE.txt,,sentences,1,-0.7414,-0.7414,0.0
texts_climate_only_Zone1,UNGA42_1987_MRT_42_1987_CLIMATE.txt,,sentences,1,-0.5236,-0.5236,0.0
texts_climate_only_Zone1,UNGA42_1987_PHL_42_1987_CLIMATE.txt,,sentences,1,-0.6808,-0.6808,0.0
texts_climate_only_Zone1,UNGA42_1987_SOM_42_1987_CLIMATE.txt,,sentences,1,-0.6844,-0.6844,0.0
texts_climate_only_Zone1,UNGA42_1987_WSM_42_1987_CLIMATE.txt,,sentences,2,-0.36595,-0.36595,0.5438500000000001
texts_climate_only_Zone1,UNGA43_1988_ATG_43_1988_CLIMATE.txt,,sentences,2,0.55545,0.55545,0.11504999999999999
texts_climate_only_Zone1,UNGA43_1988_AUS_43_1988_CLIMATE.txt,,sentences,2,-0.16235,-0.16235,0.23954999999999999
texts_climate_only_Zone1,UNGA43_1988_AUT_43_1988_CLIMATE.txt,,sentences,3,0.0016333333333333085,0.0516,0.6202789175488359
texts_climate_only_Zone1,UNGA43_1988_BFA_43_1988_CLIMATE.txt,,sentences,1,-0.4019,-0.4019,0.0
texts_climate_only_Zone1,UNGA43_1988_BGR_43_1988_CLIMATE.txt,,sentences,1,0.0,0.0,0.0
texts_climate_only_Zone1,UNGA43_1988_BRB_43_1988_CLIMATE.txt,,sentences,1,0.0772,0.0772,0.0
texts_climate_only_Zone1,UNGA43_1988_BTN_43_1988_CLIMATE.txt,,sentences,2,-0.15125,-0.15125,0.64515
texts_climate_only_Zone1,UNGA43_1988_CAN_43_1988_CLIMATE.txt,,sentences,3,0.24996666666666667,0.2732,0.195304144576834
texts_climate_only_Zone1,UNGA43_1988_CYP_43_1988_CLIMATE.txt,,sentences,1,-0.6808,-0.6808,0.0
texts_climate_only_Zone1,UNGA43_1988_DEU_43_1988_CLIMATE.txt,,sentences,3,-0.4832666666666667,-0.5719,0.3638397113504181
texts_climate_only_Zone1,UNGA43_1988_GBR_43_1988_CLIMATE.txt,,sentences,4,-0.11962499999999998,0.0,0.33435511342732593
texts_climate_only_Zone1,UNGA43_1988_GNQ_43_1988_CLIMATE.txt,,sentences,1,0.0,0.0,0.0
texts_climate_only_Zone1,UNGA43_1988_IDN_43_1988_CLIMATE.txt,,sentences,2,-0.21075,-0.21075,0.21075
texts_climate_only_Zone1,UNGA43_1988_ISL_43_1988_CLIMATE.txt,,sentences,1,-0.2919,-0.2919,0.0
texts_climate_only_Zone1,UNGA43_1988_JPN_43_1988_CLIMATE.txt,,sentences,1,0.0,0.0,0.0
texts_climate_only_Zone1,UNGA43_1988_LCA_43_1988_CLIMATE.txt,,sentences,1,0.2263,0.2263,0.0
texts_climate_only_Zone1,UNGA43_1988_LUX_43_1988_CLIMATE.txt,,sentences,5,0.16986,0.1531,0.18112979434648513
texts_climate_only_Zone1,UNGA43_1988_MDV_43_1988_CLIMATE.txt,,sentences,6,-0.2124,-0.318,0.458929954713498
texts_climate_only_Zone1,UNGA43_1988_MLT_43_1988_CLIMATE.txt,,sentences,3,0.09659999999999998,0.4588,0.6510643798171319
texts_climate_only_Zone1,UNGA43_1988_MUS_43_1988_CLIMATE.txt,,sentences,1,0.296,0.296,0.0
texts_climate_only_Zone1,UNGA43_1988_MYS_43_1988_CLIMATE.txt,,sentences,1,0.5994,0.5994,0.0
texts_climate_only_Zone1,UNGA43_1988_NPL_43_1988_CLIMATE.txt,,sentences,1,0.7964,0.7964,0.0
texts_climate_only_Zone1,UNGA43_1988_NZL_43_1988_CLIMATE.txt,,sentences,1,0.0,0.0,0.0
texts_climate_only_Zone1,UNGA43_1988_RUS_43_1988_CLIMATE.txt,,sentences,3,-0.3731333333333333,-0.2263,0.22483784280132993
texts_climate_only_Zone1,UNGA43_1988_RWA_43_1988_CLIMATE.txt,,sentences,2,-0.45765,-0.45765,0.45765
texts_climate_only_Zone1,UNGA43_1988_SWE_43_1988_CLIMATE.txt,,sentences,3,-0.2539666666666666,-0.128,0.2936872070001612
